Name,Ticker,Start Price,End Price,Price Growth (%),Volatility,Data Range
Applied Optoelect,AAOI,38.880001068115234,18.079999923706055,-53.49794386056968,0.5561485327626884,3 months
Aaon Inc,AAON,137.25,81.94000244140625,-40.29872317566029,0.33803877005685756,3 months
Alcoa Corp,AA,42.3543815612793,32.380001068115234,-23.549819701021722,0.19950121335330917,3 months
Advance Auto Parts Inc,AAP,44.72307586669922,34.349998474121094,-23.194016045533026,0.2697552936346798,3 months
American Assets Trust,AAT,27.739999771118164,22.059999465942383,-20.47584842120144,0.1417492022191681,3 months
American Airlines Gp,AAL,17.399999618530273,14.09000015258789,-19.022985853501808,0.1778011623015624,3 months
Agilent Technologies,A,140.3206329345703,126.51000213623047,-9.84219534184938,0.11964100628758292,3 months
Aapl Bull 2X ETF Direxion,AAPU,35.672760009765625,32.41999816894531,-9.118335222533524,0.2404736680537002,3 months
Aadi Biosciences Inc,AADI,2.4200000762939453,2.2100000381469727,-8.677687253157963,0.5928550395209814,3 months
Graniteshares 2X Long Aapl Daily ETF,AAPB,31.940000534057617,29.219999313354492,-8.5159711184187,0.24111885330177357,3 months
